N	199:205	Shell state 3 · Element selected	FRAME	3220,220,1440,900	true	VERTICAL	7	true
K	682:4926	INSTANCE	3220,220,1440,56	true	true	Topbar
K	199:224	FRAME	3220,276,1440,812	true	true	Middle band
K	199:399	FRAME	3220,1088,1440,32	true	true	Footer
K	1175:4870	FRAME	4336,1082,320,34	true	false	hotspot/state · canvas breadcrumb
K	1176:4953	FRAME	4336,1082,320,34	true	false	hotspot/state · hover levels
K	1682:7223	FRAME	3220,1040,200,34	true	true	hotspot/state · Shell · multi-select (Shift+click)
K	1682:7229	FRAME	3420,1040,200,34	true	true	hotspot/state · S3.1 · pick-mode
C	199:205	texts=102
T	199:403	4563,1096,81,16	11	Regular	true	WIDTH_AND_HEIGHT	Footer	Desktop · 100%
T	199:401	3326,1096,55,16	11	Regular	true	WIDTH_AND_HEIGHT	Footer	680 × 250
T	199:400	3236,1096,74,16	11	Regular	true	WIDTH_AND_HEIGHT	Footer	Section · Hero
T	I2144:11493;92:12	4604,812,34,16	12	Regular	true	HEIGHT	field	100
T	199:392	4376,811,88,18	12	Regular	true	HEIGHT	row	Opacity
T	199:390	4639,780,5,16	11	Regular	true	WIDTH_AND_HEIGHT	row	▾
T	199:389	4376,780,255,16	11	Medium	true	HEIGHT	row	EFFECTS
T	199:387	4480,748,8,16	12	Regular	true	WIDTH_AND_HEIGHT	input	8
T	199:384	4376,747,88,18	12	Regular	true	HEIGHT	row	Radius
T	199:382	4639,716,5,16	11	Regular	true	WIDTH_AND_HEIGHT	row	▾
T	199:381	4376,716,255,16	11	Medium	true	HEIGHT	row	BORDER
T	199:379	4630,684,13,16	11	Regular	true	WIDTH_AND_HEIGHT	binding chip	◈
T	199:377	4516,684,51,16	12	Regular	true	WIDTH_AND_HEIGHT	input	#1A56DB
T	199:373	4376,683,88,18	12	Regular	true	HEIGHT	row	Fill
T	199:371	4639,652,5,16	11	Regular	true	WIDTH_AND_HEIGHT	row	▾
T	199:370	4376,652,255,16	11	Medium	true	HEIGHT	row	BACKGROUND
T	199:368	4570,620,22,16	12	Regular	true	WIDTH_AND_HEIGHT	input	1.5
T	199:366	4480,620,15,16	12	Regular	true	WIDTH_AND_HEIGHT	input	14
T	199:363	4376,619,88,18	12	Regular	true	HEIGHT	row	Size
T	199:361	4480,587,67,18	12	Regular	true	WIDTH_AND_HEIGHT	input	Inter Tight ▾
T	199:358	4376,587,88,18	12	Regular	true	HEIGHT	row	Family
T	199:356	4639,556,5,16	11	Regular	true	WIDTH_AND_HEIGHT	row	▾
T	199:355	4376,556,255,16	11	Medium	true	HEIGHT	row	TYPOGRAPHY
T	199:353	4480,524,15,16	12	Regular	true	WIDTH_AND_HEIGHT	input	16
T	199:350	4376,523,88,18	12	Regular	true	HEIGHT	row	Gap
T	199:348	4570,492,15,16	12	Regular	true	WIDTH_AND_HEIGHT	input	16
T	199:346	4480,492,15,16	12	Regular	true	WIDTH_AND_HEIGHT	input	24
T	199:343	4376,491,88,18	12	Regular	true	HEIGHT	row	Padding
T	199:341	4639,460,5,16	11	Regular	true	WIDTH_AND_HEIGHT	row	▾
T	199:340	4376,460,255,16	11	Medium	true	HEIGHT	row	SPACING
T	199:338	4578,427,24,18	12	Regular	true	WIDTH_AND_HEIGHT	input	Hug
T	199:336	4553,428,11,16	11	Regular	true	WIDTH_AND_HEIGHT	⛓	⛓
T	199:334	4480,427,16,18	12	Regular	true	WIDTH_AND_HEIGHT	input	Fill
T	199:331	4376,427,88,18	12	Regular	true	HEIGHT	row	Size
T	199:329	4621,395,9,18	12	Regular	true	WIDTH_AND_HEIGHT	∅	∅
T	199:327	4585,395,12,18	12	Regular	true	WIDTH_AND_HEIGHT	▫	▫
T	199:325	4552,395,11,18	12	Regular	true	WIDTH_AND_HEIGHT	▦	▦
T	199:323	4518,395,11,18	12	Regular	true	WIDTH_AND_HEIGHT	▤	▤
T	199:321	4483,395,12,18	12	Regular	true	WIDTH_AND_HEIGHT	▭	▭
T	199:318	4376,395,88,18	12	Regular	true	HEIGHT	row	Display
T	199:316	4639,364,5,16	11	Regular	true	WIDTH_AND_HEIGHT	row	▾
T	199:315	4376,364,255,16	11	Medium	true	HEIGHT	row	LAYOUT
T	199:313	4513,332,33,16	11	Regular	true	WIDTH_AND_HEIGHT	Base ▾	Base ▾
T	199:311	4438,332,51,16	11	Regular	true	WIDTH_AND_HEIGHT	Desktop ▾	Desktop ▾
T	199:309	4384,332,30,16	11	Regular	true	WIDTH_AND_HEIGHT	This ▾	This ▾
T	199:306	4633,290,11,20	13	Regular	true	WIDTH_AND_HEIGHT	row	⋯
T	920:4619	4594,294,24,13	11	Medium	true	WIDTH_AND_HEIGHT	btn/ai	✦ AI
T	199:304	4376,290,67,20	14	Medium	true	WIDTH_AND_HEIGHT	row	⬚ Section
T	463:4248	3738,1019,12,13	11	Regular	true	WIDTH_AND_HEIGHT	chip/⌘	⌘
T	463:4244	3683,1019,8,13	11	Regular	true	WIDTH_AND_HEIGHT	chip/+	+
T	463:4242	3626,1019,28,13	11	Regular	true	WIDTH_AND_HEIGHT	chip/100%	100%
T	463:4240	3588,1019,8,13	11	Regular	true	WIDTH_AND_HEIGHT	chip/−	−
T	463:4236	4234,991,31,13	11	Regular	true	WIDTH_AND_HEIGHT	chip/X-Ray	X-Ray
